Mes,Year,Palmillas,Magdaleno Aguilar,La Vega,Plan de Ayala,La Reforma,Jaumave DGE,Jaumave SMN,Francisco Zorilla,San vicente,La Encantada
Nov,1992,20,67.8,39.38,42,34,45.6,39.38,37,42.5,397.2
Dic,1992,3,11.2,3.91,0,0,5.5,4.01,5,5.5,299.48
Ene,1993,1,3,0.82,1,0,1,0.82,0.6,0.6,246.38
Feb,1993,1,3,1,1,0,2,1.01,0,1,191.43
Mar,1993,12,14.9,8.78,5,4,11,8.89,9,8.5,178.33
Abr,1993,7,29.5,32.01,26,46,39,32.25,47,28.5,146.2
May,1993,65,88.7,80.25,97,98.5,63.5,79.7,73,94.8,185.23
Jul,1993,38.5,21,45.02,32,22.5,34,45.29,80.5,36.9,364.51
Ago,1993,31,43.7,11.96,0,0,13,12.19,0,24.9,253.93
Sep,1993,305,240,177.52,148,154,282.5,179,102.9,115,232.1
Oct,1993,17,8.5,9.33,2,0,14.5,9.54,9,8,203.64
Nov,1993,7,12,4.67,3,0,6,4.72,3,5.5,158.57
Dic,1993,9,12,7.62,6,8,7,7.62,0,16.5,153.66
Ene,1994,29,103.5,66.13,42,35,63,66.59,63,113.3,145.15
Feb,1994,0,0,0.11,0,0,0.5,0.12,0,0,133.71
Mar,1994,35,14,38.84,20,25,43,39.32,53,41,155.04
Abr,1994,93,69.6,55.25,39.5,26,53,55.58,62,47.8,373.07
Jun,1994,182,72.7,78.11,99,59.5,82,77.59,35,46,565.23
Jul,1994,35,38.3,11.42,0,0,27.5,11.79,0,6.5,340.09
Ago,1994,23,203.7,59.85,46,59,79.5,60.26,34,97,259.01
Sep,1994,110,85.8,68.84,93,61,46.5,68,34,81.3,238.15
Oct,1994,40,80.5,45.38,43,27,51.5,45.47,38,51.5,467.92
Nov,1994,0,4,4.54,6,3,5,4.5,0,9.3,391.76
Dic,1994,12,2,6.86,12,0,6.5,6.73,2,4.5,399.61
Ene,1995,11,28,16.71,14,18.5,20.5,16.79,13,22,354.05
Feb,1995,4,5.5,1.61,0,0,2.5,1.65,0,2.7,286.43
Mar,1995,0,0,5.48,25,5,0,4.99,0,0,439.95
May,1995,18,64.5,6.09,0,28.5,9.5,6.26,7,2,386.45
Jun,1995,63,60.6,67.24,133,38,74.5,65.79,22,43,319.96
Jul,1995,64,37,53.6,48.3,53,48,53.63,47,65.5,278.87
Ago,1995,220,213.1,215.7,306,205.8,179.2,213.43,217,161,233.99
Sep,1995,8,20.4,13.8,14.5,10,14.5,13.77,5,23.8,215.8
Oct,1995,3,3,0.88,0,2.5,2.5,0.92,0,0,178.42
Nov,1995,28,10,30.66,88,36.2,20.3,29.27,4,12.8,167.92
Dic,1995,31,48,34.61,43,32.9,30.5,34.38,32,34.8,142.38
Ene,1996,0,0,0.45,0,0,1.5,0.47,0,0.5,536.79
Feb,1996,2,5.6,1.91,0,6.4,3.5,1.96,0,4,325.6
Mar,1996,9,0,2.22,0,0,3.5,2.27,0,2,225.94
Abr,1996,13,5.5,2.44,0,0,1,2.47,2,1.5,198.36
May,1996,80,79,31.74,16.5,43.5,39,32.11,22,25.5,164.2
Jun,1996,104,81.5,51.54,97.9,30.7,37.5,50.36,30,16.2,163.9
Jul,1996,19,4,17.56,31,148.5,25,17.3,0,13.8,149.53
Ago,1996,193,280.8,219.28,226.8,214,261,219.2,106,294.3,211.11
Sep,1996,135,122.9,47.4,93.4,66.6,26,46.11,9,19,509.66
Oct,1996,14,16.5,11.63,21.1,32,10.5,11.39,0,13.8,237.25
Nov,1996,4,14.5,5.51,0,26,8.5,5.64,0,14,665.47
Dic,1996,0,0,0,0,3,0,0,0,0,376.72
Mar,1997,63,115.3,97.43,134.6,60,81.5,96.4,72,118.5,384.42
Abr,1997,102,150.5,134.04,161.2,130,131,133.45,138,122.5,179.25
May,1997,153,132.7,100.15,78.9,81,90.5,100.53,107,97.8,158.37
Jun,1997,88,74,60.08,62.9,76,45.5,59.9,70,48.4,165.56
Jul,1997,6,25.7,8.82,22.5,0,7,8.5,5,2.5,379.26
Ago,1997,35,102.2,11.38,4.7,0,12,11.51,5,12,232.75
Sep,1997,103,82,57.61,100.7,0,30,56.38,44.2,34.1,595.46
Oct,1997,202,107,109.67,174,0,86.5,107.96,70,64.3,444.06
Nov,1997,9,6.5,8.08,6.4,0,9.5,8.13,10,6,564.14
Dic,1997,0,0,1.94,0,9,0,1.95,0,8.5,296.61
Ene,1998,0,0,0,0,0,0,0,0,0,240.9
Feb,1998,0,0,0.9,0,0,2,0.93,0,2,181.35
Mar,1998,0,0,0.34,0,0,0,0.34,0,1.5,170.69
Abr,1998,3,0,3.35,9.8,0,0.5,3.13,0,2.42,158.91
May,1998,2,0,0.29,0,0,0,0.29,0,0.27,145.17
Jun,1998,48,1.3,16.53,0,0,32,17.11,1.8,14.01,239.77
Jul,1998,41,14.4,16.64,6.5,0,19,16.92,12.2,15.29,459.27
Ago,1998,22.9,33.7,27.08,11.7,0,60,27.84,11.5,25.1,227.07
Sep,1998,29.2,52.6,85.14,57.1,0,168.5,86.82,57.4,71.25,198.83
Oct,1998,11.4,27.7,22.64,16.8,0,59,23.08,4.3,16.2,184.11
Nov,1998,0,2,1.55,0,0,7,1.63,0,0,158.21
Dic,1998,0,0,0.26,1.2,0,0,0.24,0,0,160.32
Ene,1999,0,0,0,0,0,0,0,0,0,132.13
Feb,1999,0,0,0,0,0,0,0,0,0,132.04
Mar,1999,0,0,0.95,1.2,0,0,0.93,0,3,112.14
May,1999,3.42,5.6,3.63,10.3,0,0,3.44,1.8,2.6,443.63
Jun,1999,79,4.3,20.65,7.2,0,0,20.7,13.8,32.1,638.87
Jul,1999,196,16.2,44.11,39.3,0,0,43.71,21.6,40.1,592.42
Ago,1999,64,7.9,10.98,1,0,0,11.07,7,9.5,370.05
Sep,1999,77,26,24.41,29.3,0,0,24.05,19.8,22.5,240.81
Nov,1999,0,0,0.23,0,0,0,0.23,0,1,288.32
Ene,2000,2.3,10.5,6.61,11.4,0,4,6.4,6.04,6.01,724.49
Feb,2000,0,0,0,0,0,0,0,0,0,376.04
Mar,2000,3,5.5,0.33,0,0,0,0.33,0,0,339.57
Abr,2000,28,14.9,28.77,4.9,0,75.5,29.72,17.2,18,489.84
May,2000,18.6,15.6,13.47,17.7,8.7,8.5,13.36,23,2.5,253.98
Jun,2000,55.7,34.3,39.83,27.3,23.6,59,40.4,38.02,25.6,228.06
Jul,2000,16,7,2.42,0,0,3,2.47,0,0,171.14
Ago,2000,35.9,27.6,43.73,47.6,0,82,43.97,20.1,29.6,166.33
Sep,2000,4.2,25.8,7.93,5.1,11.1,8.5,8,10.7,9.2,524.44
Oct,2000,42.5,41.5,139.45,35,3.1,331.5,143.85,215.9,26,258.08
Nov,2000,2.8,15.4,13.11,0,33,22,13.49,17.9,17.4,282.2
Ene,2001,0,6.5,5.75,10.6,14,5,5.63,4.8,5.5,225.2
Feb,2001,0,0,0.38,0,0,0.5,0.39,1.2,0,184.56
Mar,2001,3,4,10.57,8.5,22.5,3.5,10.57,18.9,15,163.06
Abr,2001,40,4.5,29.13,20.5,11,31.5,29.33,29.4,29.6,149.25
May,2001,39,76.5,40,62.9,137,34.5,39.45,36.2,27.5,146.96
Jun,2001,99,79,105.2,135.5,68,79.5,104.35,122.7,87,143.07
Jul,2001,28,28.5,15.53,27.2,42,4,15.14,8.8,16,196.99
Oct,2001,22,14.5,25.91,27.6,39.5,21.5,25.84,31,25.5,558.99
Nov,2001,0,0,2.68,0,1,4,2.76,4,4,418.4
Dic,2001,0,0,6.4,29.2,0,0,5.83,0,0,401.23
Ene,2002,11,11,8.12,6.3,6,9,8.16,6.7,9,383.75
Feb,2002,17,15,11.22,16.6,8,10.5,11.08,5.5,9.5,272.83
Mar,2002,4,0,13.97,38,0,6.5,13.34,0,16.5,264.37
Abr,2002,2,5.5,0.44,0,3,0,0.45,1,0,177.59
May,2002,65,52.6,41.83,18.2,31,50,42.38,33,54,191.84
Ago,2002,94,68.5,52.42,70.1,77,22,51.77,63.1,34.5,344.32
Sep,2002,148,126.5,123.4,143.1,100.5,131,122.94,84,123.5,143.24
Oct,2002,34,109.5,23.77,13.6,40.5,38,24.18,39,0,252.88
Nov,2002,29,30.5,23.19,11.4,34,11.5,23.33,28.5,37.9,181.72
Dic,2002,0,0,0,0,0,0,0,0,0,181.94
Ene,2003,8,20.5,6.64,9.5,7.5,9.5,6.6,3,4,161.88
Feb,2003,0,0,1.22,0,0,0,1.24,5.5,0,148.32
Mar,2003,3,14,10.72,25.4,8.5,10,10.38,1.5,10,208.06
May,2003,42,50.5,41.42,86.1,36.5,15.5,40.23,46.5,18.4,355.96
Jun,2003,49,68.2,84.14,168,122,64,82.06,49.7,73.5,675.48
Jul,2003,183.3,218.5,105.09,89.3,105.5,92.5,105.19,69.5,129.3,292.33
Ago,2003,58,90.5,58.78,61.3,211.5,55,58.66,49.4,69.5,220.61
Sep,2003,151,146.5,95.17,109,171,76,94.61,71,97,213.27
Oct,2003,81,138,109.03,103,125,109,109.11,94.5,142.5,191.71
Nov,2003,0,0,3.47,5,4,1,3.41,1.5,8,210.86
Dic,2003,4,6.3,4.57,3,1,2.5,4.59,7,6,184.37
Ene,2004,20,19.56,14.18,12,44.5,10,14.18,14.7,17,203.64
Feb,2004,0,0,0.11,0,0,0.5,0.12,0,0,189.81
Abr,2004,21,25.5,24.97,58,50.5,9,24.12,28.2,7.5,695.94
May,2004,145,124.5,75.62,83,155.5,61.5,75.29,62,62,400.61
Jun,2004,87,170.4,83.87,124.3,54.5,89,82.98,52,69.5,335.67
Jul,2004,33,153.5,66.76,80,48,73.5,66.53,61.4,69,271.92
Ago,2004,75,71,28.69,21,72,13.5,28.74,41,16.5,211.89
Sep,2004,95,123.2,79.99,142,122.5,60.5,78.42,61.5,50,209.75
Oct,2004,35,55.5,32.12,39,64,27.5,31.92,27.6,33,489.4
Nov,2004,4,15.5,11.91,36,4.5,5.5,11.31,5.5,5,380.28
Feb,2005,59,47,53.43,56,60.5,56.5,53.38,46,52.5,498.39
Mar,2005,22,31.2,28.17,30,52.5,29,28.11,19,37.5,298.19
Abr,2005,0,5.5,1.1,2.7,14,0,1.06,2.3,0,226.43
May,2005,62,38.5,29.76,13,125.7,32,30.15,34,24,190.97
Jun,2005,38,58.5,34.58,89,52,20,33.2,7.6,21,182.32
Jul,2005,144,255,173.57,237,234,206,172.49,149.3,119,156.18
Ago,2005,43,67.5,48.66,81,35,46.5,47.97,53.2,18,177.29
Sep,2005,115,150,94.02,183,225,55,91.64,60.3,69,415.59
Oct,2005,89.6,91,80.96,82.81,81.5,89.5,81.31,64.5,84.5,252.51
Nov,2005,0,0,0.88,4,0,0,0.8,0,0,214.61
Dic,2005,0,0,25.11,9,7.5,7,25.18,1.5,93.2,265.23
Ene,2006,7,8.5,5.21,8,3.5,4.5,5.14,3.5,4,217.89
Feb,2006,0,0,0,0,0,0,0,0,0,174.6
Mar,2006,11,34.5,16.7,35,38.5,15.5,16.28,9,10.5,165.7
Abr,2006,10,17.5,17.28,32,40,14,16.92,14,13,139.07
May,2006,153,167.5,79.75,89,65.5,62,79.32,58.9,73,155.13
Jun,2006,23,44,47.54,97,22.5,29,46.27,38.6,38.5,167.99
Jul,2006,18,131,38.06,99,30.5,17.5,36.5,18.6,28,212.32
Ago,2006,36,165.5,35.08,72,102,14.5,34.06,23.9,30,213.85
Sep,2006,62,110.5,47.99,95,91.5,28,46.75,32.5,30.5,301.19
Oct,2006,31,78,73.94,89,81.5,64.5,73.52,74.3,89,342.5
Nov,2006,28,46,45.57,53,41,41.5,45.36,41.3,55,267.22
Dic,2006,14,31.5,24.28,20,21,15.5,24.26,19,47,223.06
Ene,2007,0,6.95,7.76,14,7,6,7.61,8.5,6.5,172.44
Feb,2007,52,69,50.73,49,0,52,50.8,58.5,43,164.64
Mar,2007,63,4.5,12.65,4,4,7.5,12.77,9.2,5,137.9
Abr,2007,28,58,46.09,42,13,36,46.09,51.8,63,93.58
Jun,2007,100.54,77,103.82,151,111.5,102,102.74,81.5,83.5,169.38
Jul,2007,131,171,84.73,116,81.2,63,83.8,68.7,69,337.91
Oct,2007,4,15.5,10,20,65,9,9.76,4.6,9.5,475.52
Nov,2007,18,44,19.11,23.18,22,21,19.8,17.9,19,357.31
Dic,2007,0,0,28.93,132,0,0,26.37,0,0,305.23
Ene,2008,0,0,0,0,0,0,0,0,0,236.57
Feb,2008,20,0,9.36,0,10,13,9.59,7,12,178.7
Mar,2008,0,0,2.21,7,2,1,2.09,0,2,163.33
Abr,2008,36,0,25.01,41,62,16,24.57,22.5,15.5,148.07
May,2008,103.01,148,96.71,105,75,95,96.43,69.8,113.5,224.89
Jun,2008,79,167,126.78,169,110,113.5,125.76,129,120,556.8
Sep,2008,114,145.5,148.9,204,185.5,154,147.71,123,133,485.25
Nov,2008,0,0,2.29,3.7,0,3.5,2.27,0.1,3,555.92
Dic,2008,0,0,0,0,0,0,0,0,0,440.66
Ene,2009,0,0,4.8,10,7,1,4.64,1.5,9,343.3
Feb,2009,6,0,2.42,7,0,0,2.29,1,0,267.62
Mar,2009,0,16,1.97,8,1,0,1.82,1,0,239.73
Abr,2009,0,105,2.62,0,11,5,2.7,1.7,5,208.64
May,2009,116,39,121,169,145,136.5,120,73.7,108.2,244.82
Jun,2009,64,0,30.64,19,33,37,30.88,5.5,44,330.07
Jul,2009,6.2,0,1.13,0,0,0.5,1.14,1.5,0,290.64
Ago,2009,16,60,24.29,0,11,34,24.9,23.5,43,194.31
Sep,2009,261,209,104.46,180,74,58.5,102.26,52.9,51,598.9
Oct,2009,4,100,13.23,39,110,3.5,12.58,9.5,6,324.17
Nov,2009,0,108,0,0,0,0,0,0,0,242.15
Dic,2009,18,80,38.1,61,32,0,37.18,25.5,75,215.52
Ene,2010,29.2,19.29,17.79,16,19.14,18,17.83,13.7,18.42,194.61
Feb,2010,54,50.65,50.24,65,50.48,42.5,49.72,41.5,50.03,161.56
Mar,2010,0,0.12,0.14,0,0.12,0.5,0.15,0,0.14,161.68
Abr,2010,25,46.45,50.18,114,46.3,28,48.11,21.7,47.17,177.73
May,2010,58,67.6,69.67,139,67.2,49,67.42,27.5,67.18,191.69
Jun,2010,82,57.59,54.14,87,56.94,35.3,52.94,26.6,54.66,194.41
Jul,2010,283,349.79,360.98,629,348.99,193.1,351.58,302.2,349.92,694.17
Ago,2010,9,45.24,50.94,96,45.51,29.5,49.47,48.6,47.61,537.67
Sep,2010,62,86.03,90.02,140,86.03,72.5,88.42,72,87.25,498.94
Ene,2011,2.5,8,1.89,3.23,3.5,2.5,2.17,3.07,1,316.54
Feb,2011,0,0,0,0,0,0,0,0,0,239.71
Mar,2011,0,6,0,0,1.04,0,0,0,0,214.9
Abr,2011,12,17,4.18,10,6.97,3,4.03,0,0,175.07
May,2011,2,9,5.27,19,5.61,1,4.93,3,0,168.48
Jun,2011,269,282.5,135.93,70,227,174,137.75,143.3,91,232.89
Ago,2011,8,72,33.51,116.2,34.53,8.5,31.44,11.5,12,465.27
Sep,2011,6,46.5,17.29,22,4.5,20.5,17.23,21.5,11,361.39
Oct,2011,37,18,20.67,46,29.5,4.5,19.94,9.5,15,314.64
Nov,2011,12.46,24.5,8.48,12,10,11.5,8.39,0,10.51,247.3
Dic,2011,0,3.5,3.42,9,4,1.5,3.24,1.5,3.28,209.63
Ene,2012,1.5,19.3,11.91,23,14,11,11.66,9,10,169.73
Feb,2012,74.27,92.5,73.13,73.72,55,76,73.28,69.7,73.45,151.29
Mar,2012,9,48.5,16.75,14,5,18,16.86,28.5,10.5,157.66
Abr,2012,30,29.5,22.57,49,70.5,14,21.89,10.1,14,213.06
May,2012,51.99,65,41.51,72.5,75,40.5,40.81,28.3,20.5,421.89
Ago,2012,80,143.5,76.96,174,55.5,37,74.42,51.2,46,393.17
Sep,2012,35,82,61,137,12,43.5,58.61,16.2,55.46,348.89
Oct,2012,19.11,17,17.32,29,26,19,16.98,3.2,18.02,391.11
Nov,2012,15,24.5,19.41,28,12,15,19.12,17.5,18.85,229.2
Dic,2012,3.19,3.5,3.06,3,3,3.15,3.09,3.14,3.14,228.94
