Mes,Year,Palmillas,Magdaleno Aguilar,La Vega,Plan de Ayala,La Reforma,Jaumave DGE,Jaumave SMN,Francisco Zorilla,San vicente,La Encantada
Mar,1968,31,36.63,34,36.5,36.85,31.1,43.3,37.7,49,261.05
Abr,1968,48,61.96,52,46,62.6,63,67.7,62.89,93.4,226.22
May,1968,95.5,82.58,234,70,82.53,75,84.7,100.53,89.5,317.99
Jun,1968,97,60.18,115.5,90,58.99,30,35.3,60.08,19.5,266.7
Jul,1968,28.5,27.45,51,28,27.37,31.1,37.8,31.74,21.8,287.14
Ago,1968,76,77.65,44,79.3,77.67,77.5,75.2,73.31,77.9,270.18
Sep,1968,90,80.56,250,85,80.24,79.5,77.8,99.76,66.4,494.35
Oct,1968,88,40.84,222,10.5,40.25,24,29.1,58.48,38,508.73
Nov,1968,5,4.27,13,5,4.25,3.5,3.4,5.13,3.5,305.24
Dic,1968,13.5,11.44,13,9,11.47,7.5,13.4,11.85,15.9,251.46
Ene,1969,29,18.91,20,26,18.59,20.44,30.3,2.1,20.44,215.95
Feb,1969,1.5,1.47,1.73,3,1.45,1.62,2.3,0,1.63,161.23
Mar,1969,18,12.92,20.5,15,12.79,19,17.1,0.1,14.3,161.84
Abr,1969,12,10.97,80,20,10.84,20.14,10.3,1.4,20.76,149.55
May,1969,44,58.43,156,36,58.89,34.5,39.5,113.9,61.7,171.86
Jun,1969,38.5,55,101.5,37,55.26,99.5,111.4,50.2,50.5,154.64
Jul,1969,61,44.69,1,39,44.44,42.5,47.5,35.8,38.81,258.9
Ago,1969,99,116.38,327,110,116.85,148.13,125.1,139.8,150,443.98
Oct,1969,34.5,16.7,192,2,16.45,23.5,22.7,15.1,6.8,585.71
Nov,1969,7.5,16.62,38.5,25,16.73,15,16.3,16,20.4,307.78
Dic,1969,0,0.93,3,0,0.98,0,1.3,0,5,265.68
Ene,1970,0,3.98,0,10,4,0.5,6.1,5.2,4.4,208.38
Feb,1970,0,16.08,87,21,16.39,14,14.5,17.2,29.9,169.71
Mar,1970,0,1.27,0,0,1.3,0,0.5,5.2,1,167.57
Abr,1970,0,0,8,0,0,0,0,0,0,138.79
May,1970,0,46.29,83.5,86,46.71,48,48.5,53.6,46.2,157.44
Jun,1970,0,107.67,225.5,140,109.42,112.5,119.2,135,158.5,598.01
Nov,1970,0,2.27,0,0,2.33,3,3.7,4.8,3.6,394.9
Dic,1970,0,0,0,0,0,0,0,0,0,333.22
Ene,1971,0,3.71,8,10,3.71,4.25,3.8,3,2,272.19
Feb,1971,0,0,0,0,0,0,0,0,0,191.12
Mar,1971,0,8.36,0.5,22,8.35,7.36,7.9,8.9,2.7,181.94
Abr,1971,0,0,2,0,0,0.29,0.3,0,0,153.45
May,1971,0,19.18,100.5,19,19.66,33.27,41.1,24.8,34.6,149.68
Jun,1971,0,72.84,48.5,83,74.47,79.74,115.6,93.3,120.9,260.2
Jul,1971,0,15.07,91,41,15.09,24.6,17.4,8.4,12,439.25
Ago,1971,167,72.69,186,57.5,70.75,79.93,56.9,29.6,31.2,335.08
Nov,1971,0,4.73,42,0,4.91,10.27,9.4,8.8,10.5,465.78
Dic,1971,7,10.15,1,0,10.33,8.18,2.1,19.2,14.3,327.02
Ene,1972,0,7.52,11,12,7.59,5.5,6.5,15,5,255.99
Feb,1972,0,0.2,10,0,0.2,1,1.6,0,0,199.69
Mar,1972,0,52.45,135,134,52.57,60,62.7,31.1,40.9,219.07
Abr,1972,9,10.39,130,0,10.38,34.1,25,6.5,2,175.1
May,1972,0,64.24,144.5,105,64.92,76.5,79.6,77.1,65.7,186.72
Sep,1972,0,37.46,146,102,37.62,19.5,26.5,29.3,39.5,473.85
Oct,1972,0,14.51,56,13,14.8,15,19.5,21.8,23.7,358.38
Nov,1972,0,14.87,4,30,14.96,17,17.5,17,10.9,263.68
Dic,1972,0,0.26,1,0,0.27,0,1,1,0.3,249.24
Ene,1973,0,11.27,22,14,11.42,16.5,14.1,14,12.4,204.12
Feb,1973,0,20.27,37.5,25,20.63,19.5,25.11,26,32.4,157.67
Mar,1973,0,0.76,4,0,0.79,1.5,1.4,0,2.5,152.78
Abr,1973,46,51.84,100,49,51.87,60,53.1,62.2,41.1,143.65
May,1973,0,27.62,69,23,28.19,24,22.3,49.1,43.3,134.79
Jul,1973,0,59.27,132,51,60.37,76,71.2,87.8,84.7,476.65
Ago,1973,134.5,98.46,209.5,46.5,98.38,103,112.8,92.2,115.2,284.94
